Station ID,Station Name,Province,Reported Station,Rainfall (mm),Date
43534,Jammu,Kashmir,Jammu,35,"29 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,3,"29 Jul, 2025"
41573,MURREE,Punjab,MURREE,14,"29 Jul, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,2,"29 Jul, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,7,"29 Jul, 2025"
41516,GILGIT,GB,GILGIT,0,"28 Jul, 2025"
43534,Jammu,Kashmir,Jammu,15,"28 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,3,"27 Jul, 2025"
41508,DIR,KPK,DIR,14,"27 Jul, 2025"
41516,GILGIT,GB,GILGIT,0,"27 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"27 Jul, 2025"
43534,Jammu,Kashmir,Jammu,1,"27 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,0,"27 Jul, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,2,"27 Jul, 2025"
41573,MURREE,Punjab,MURREE,20,"27 Jul, 2025"
41517,SKARDU,GB,SKARDU,0,"27 Jul, 2025"
43536,Srinagar,Kashmir,Srinagar,0,"27 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,4,"26 Jul, 2025"
41508,DIR,KPK,DIR,2,"26 Jul, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,18,"26 Jul, 2025"
41516,GILGIT,GB,GILGIT,5,"26 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"26 Jul, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,29,"26 Jul, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,3,"26 Jul, 2025"
41517,SKARDU,GB,SKARDU,1,"26 Jul, 2025"
43536,Srinagar,Kashmir,Srinagar,3,"26 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,13,"25 Jul, 2025"
41652,D G KHAN,Punjab,D G KHAN,0,"25 Jul, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,3,"25 Jul, 2025"
41516,GILGIT,GB,GILGIT,4,"25 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"25 Jul, 2025"
41598,JHELUM,Punjab,JHELUM,0,"25 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,19,"25 Jul, 2025"
43535,Leh,Kashmir,Leh,1,"25 Jul, 2025"
41675,MULTAN,Punjab,MULTAN,24,"25 Jul, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,8,"25 Jul, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,12,"25 Jul, 2025"
41697,SIBBI,Balochistan,SIBBI,2,"25 Jul, 2025"
41517,SKARDU,GB,SKARDU,0,"25 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,4,"24 Jul, 2025"
41567,Attock,Punjab,Attock,8,"24 Jul, 2025"
41562,BANNU,KPK,BANNU,1,"24 Jul, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,17,"24 Jul, 2025"
41652,D G KHAN,Punjab,D G KHAN,2,"24 Jul, 2025"
41508,DIR,KPK,DIR,2,"24 Jul, 2025"
41630,FAISALABAD,Punjab,FAISALABAD,0,"24 Jul, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,6,"24 Jul, 2025"
41516,GILGIT,GB,GILGIT,5,"24 Jul, 2025"
41505,HUNZA,GB,HUNZA,0,"24 Jul, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,0,"24 Jul, 2025"
41598,JHELUM,Punjab,JHELUM,19,"24 Jul, 2025"
43534,Jammu,Kashmir,Jammu,11,"24 Jul, 2025"
41780,KARACHI,Sindh,KARACHI,0,"24 Jul, 2025"
41640,LAHORE,Punjab,LAHORE,1,"24 Jul, 2025"
43535,Leh,Kashmir,Leh,2,"24 Jul, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,1,"24 Jul, 2025"
41573,MURREE,Punjab,MURREE,8,"24 Jul, 2025"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,1,"24 Jul, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,3,"24 Jul, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,2,"24 Jul, 2025"
41680,SAHIWAL,Punjab,SAHIWAL,0,"24 Jul, 2025"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,1,"24 Jul, 2025"
41593,SARGODHA,Punjab,SARGODHA,69,"24 Jul, 2025"
41697,SIBBI,Balochistan,SIBBI,4,"24 Jul, 2025"
41517,SKARDU,GB,SKARDU,4,"24 Jul, 2025"
43536,Srinagar,Kashmir,Srinagar,2,"24 Jul, 2025"
41520,ASTORE,GB,ASTORE,1,"23 Jul, 2025"
41535,Abbotabad,KPK,Abbotabad,31,"23 Jul, 2025"
41567,Attock,Punjab,Attock,125,"23 Jul, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,2,"23 Jul, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,0,"23 Jul, 2025"
